"M","valence","par","item","study","TSlength","scale","MpD","pop","retro","TSlength_c","MpD_c"
1,1,1,1,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,1,2,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,1,3,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,1,4,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,1,5,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,1,6,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,1,7,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,1,8,1,184,1,6,0,0,83.1437125748503,0.185714285714286
0,1,2,1,1,157,1,6,0,0,56.1437125748503,0.185714285714286
1,1,2,2,1,157,1,6,0,0,56.1437125748503,0.185714285714286
1,1,2,3,1,157,1,6,0,0,56.1437125748503,0.185714285714286
1,1,2,4,1,157,1,6,0,0,56.1437125748503,0.185714285714286
1,0,2,5,1,157,1,6,0,0,56.1437125748503,0.185714285714286
0,0,2,6,1,157,1,6,0,0,56.1437125748503,0.185714285714286
1,0,2,7,1,157,1,6,0,0,56.1437125748503,0.185714285714286
0,0,2,8,1,157,1,6,0,0,56.1437125748503,0.185714285714286
0,1,3,1,1,204,1,6,0,0,103.14371257485,0.185714285714286
0,1,3,2,1,204,1,6,0,0,103.14371257485,0.185714285714286
0,1,3,3,1,204,1,6,0,0,103.14371257485,0.185714285714286
0,1,3,4,1,204,1,6,0,0,103.14371257485,0.185714285714286
0,0,3,5,1,204,1,6,0,0,103.14371257485,0.185714285714286
0,0,3,6,1,204,1,6,0,0,103.14371257485,0.185714285714286
0,0,3,7,1,204,1,6,0,0,103.14371257485,0.185714285714286
0,0,3,8,1,204,1,6,0,0,103.14371257485,0.185714285714286
0,1,4,1,1,172,1,6,0,0,71.1437125748503,0.185714285714286
0,1,4,2,1,172,1,6,0,0,71.1437125748503,0.185714285714286
0,1,4,3,1,172,1,6,0,0,71.1437125748503,0.185714285714286
0,1,4,4,1,172,1,6,0,0,71.1437125748503,0.185714285714286
0,0,4,5,1,172,1,6,0,0,71.1437125748503,0.185714285714286
1,0,4,6,1,172,1,6,0,0,71.1437125748503,0.185714285714286
0,0,4,7,1,172,1,6,0,0,71.1437125748503,0.185714285714286
0,0,4,8,1,172,1,6,0,0,71.1437125748503,0.185714285714286
1,1,5,1,1,163,1,6,0,0,62.1437125748503,0.185714285714286
